,prompt_class,prompt_num,prompt,model,temperature,yes_count,no_count,num_trials,yes_percent,no_percent
0,CMP,1,"Suppose that the Lakers, Warriors, and Celtics have the best odds to win the NBA championship. Based on expert projections, it is most likely the Lakers will win, followed closely by the Warriors, with the Celtics having much lower odds. These are the only top contenders, so if the Warriors don’t win, then if the Lakers don’t win, the Celtics will win. Moreover, it is most likely the Lakers will win and hence that the Warriors won’t win. Does it follow that it is likely that, if the Lakers don’t win, the Celtics will?",GPT-3.5 Turbo (0613),0,1,0,1,1.0,0.0
1,CMP,1,"Suppose that the Lakers, Warriors, and Celtics have the best odds to win the NBA championship. Based on expert projections, it is most likely the Lakers will win, followed closely by the Warriors, with the Celtics having much lower odds. These are the only top contenders, so if the Warriors don’t win, then if the Lakers don’t win, the Celtics will win. Moreover, it is most likely the Lakers will win and hence that the Warriors won’t win. Does it follow that it is likely that, if the Lakers don’t win, the Celtics will?",GPT-3.5 Turbo (1106),0,1,0,1,1.0,0.0
2,CMP,1,"Suppose that the Lakers, Warriors, and Celtics have the best odds to win the NBA championship. Based on expert projections, it is most likely the Lakers will win, followed closely by the Warriors, with the Celtics having much lower odds. These are the only top contenders, so if the Warriors don’t win, then if the Lakers don’t win, the Celtics will win. Moreover, it is most likely the Lakers will win and hence that the Warriors won’t win. Does it follow that it is likely that, if the Lakers don’t win, the Celtics will?",GPT-4 (0314),0,0,1,1,0.0,-1.0
3,CMP,1,"Suppose that the Lakers, Warriors, and Celtics have the best odds to win the NBA championship. Based on expert projections, it is most likely the Lakers will win, followed closely by the Warriors, with the Celtics having much lower odds. These are the only top contenders, so if the Warriors don’t win, then if the Lakers don’t win, the Celtics will win. Moreover, it is most likely the Lakers will win and hence that the Warriors won’t win. Does it follow that it is likely that, if the Lakers don’t win, the Celtics will?",GPT-4 (0613),0,0,1,1,0.0,-1.0
4,CMP,1,"Suppose that the Lakers, Warriors, and Celtics have the best odds to win the NBA championship. Based on expert projections, it is most likely the Lakers will win, followed closely by the Warriors, with the Celtics having much lower odds. These are the only top contenders, so if the Warriors don’t win, then if the Lakers don’t win, the Celtics will win. Moreover, it is most likely the Lakers will win and hence that the Warriors won’t win. Does it follow that it is likely that, if the Lakers don’t win, the Celtics will?",GPT-4 Turbo (1106),0,0,1,1,0.0,-1.0
5,CMP,1,"Suppose that the Lakers, Warriors, and Celtics have the best odds to win the NBA championship. Based on expert projections, it is most likely the Lakers will win, followed closely by the Warriors, with the Celtics having much lower odds. These are the only top contenders, so if the Warriors don’t win, then if the Lakers don’t win, the Celtics will win. Moreover, it is most likely the Lakers will win and hence that the Warriors won’t win. Does it follow that it is likely that, if the Lakers don’t win, the Celtics will?",GPT-4 Turbo (2024-04-09),0,0,1,1,0.0,-1.0
6,CMP,1,"Suppose that the Lakers, Warriors, and Celtics have the best odds to win the NBA championship. Based on expert projections, it is most likely the Lakers will win, followed closely by the Warriors, with the Celtics having much lower odds. These are the only top contenders, so if the Warriors don’t win, then if the Lakers don’t win, the Celtics will win. Moreover, it is most likely the Lakers will win and hence that the Warriors won’t win. Does it follow that it is likely that, if the Lakers don’t win, the Celtics will?",Claude 3 Opus (2024-02-29),0,0,1,1,0.0,-1.0
7,CMP,1,"Suppose that the Lakers, Warriors, and Celtics have the best odds to win the NBA championship. Based on expert projections, it is most likely the Lakers will win, followed closely by the Warriors, with the Celtics having much lower odds. These are the only top contenders, so if the Warriors don’t win, then if the Lakers don’t win, the Celtics will win. Moreover, it is most likely the Lakers will win and hence that the Warriors won’t win. Does it follow that it is likely that, if the Lakers don’t win, the Celtics will?",Claude 3 Sonnet (2024-02-29),0,0,1,1,0.0,-1.0
8,CMP,1,"Suppose that the Lakers, Warriors, and Celtics have the best odds to win the NBA championship. Based on expert projections, it is most likely the Lakers will win, followed closely by the Warriors, with the Celtics having much lower odds. These are the only top contenders, so if the Warriors don’t win, then if the Lakers don’t win, the Celtics will win. Moreover, it is most likely the Lakers will win and hence that the Warriors won’t win. Does it follow that it is likely that, if the Lakers don’t win, the Celtics will?",Claude 3 Haiku (2024-03-07),0,1,0,1,1.0,0.0
9,CMP,1,"Suppose that the Lakers, Warriors, and Celtics have the best odds to win the NBA championship. Based on expert projections, it is most likely the Lakers will win, followed closely by the Warriors, with the Celtics having much lower odds. These are the only top contenders, so if the Warriors don’t win, then if the Lakers don’t win, the Celtics will win. Moreover, it is most likely the Lakers will win and hence that the Warriors won’t win. Does it follow that it is likely that, if the Lakers don’t win, the Celtics will?",GPT-4o (2024-05-13),0,0,1,1,0.0,-1.0
