,prompt_class,prompt_num,prompt,model,temperature,yes_percent,no_percent
0,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-3.5 Turbo (1106),,0.9187150099413163,0.0812849900586837
1,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-3.5 Turbo (0125),,0.9008346738037111,0.099165326196289
2,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-4 (0314),,0.9999992530433585,7.469566415363208e-07
3,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-4 (0613),,0.999999945801874,5.4198126095922154e-08
4,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-4 Turbo (1106),,0.9999996859353776,3.140646224083328e-07
5,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-4 Turbo (2024-04-09),,0.9999999997569963,2.4300382888517916e-10
6,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-4o (2024-05-13),,0.9999967112496887,3.2887503113926417e-06
7,DSx,2,"From 'Either the wug is flooped or it is bimmed' together with 'The wug is not bimmed', can we infer 'The wug is flooped'?",GPT-3.5 Turbo (1106),,0.8909975355574533,0.1090024644425467
8,DSx,2,"From 'Either the wug is flooped or it is bimmed' together with 'The wug is not bimmed', can we infer 'The wug is flooped'?",GPT-3.5 Turbo (0125),,0.827261414554103,0.17273858544589707
9,DSx,2,"From 'Either the wug is flooped or it is bimmed' together with 'The wug is not bimmed', can we infer 'The wug is flooped'?",GPT-4 (0314),,0.9999989925278613,1.0074721386305707e-06
10,DSx,2,"From 'Either the wug is flooped or it is bimmed' together with 'The wug is not bimmed', can we infer 'The wug is flooped'?",GPT-4 (0613),,0.9999999205635612,7.9436438768186e-08
